name~location_id~city~state~awards~positive~uName~uLocation
&pizza~3461934~Washington DC~District of Columbia~Certificate of Excellence 2016~positive~Kait_De~Boston, Massachusetts
&pizza~3461934~Washington DC~District of Columbia~Certificate of Excellence 2016~positive~Oclo812~Ocean City, Maryland
&pizza~3461934~Washington DC~District of Columbia~Certificate of Excellence 2016~positive~MDF_U2~Irvine, California, United States
&pizza~3461934~Washington DC~District of Columbia~Certificate of Excellence 2016~negative~Donkey2016~Salt Lake City, Utah
&pizza~3461934~Washington DC~District of Columbia~Certificate of Excellence 2016~positive~Roy K~Paris, France
&pizza~3461934~Washington DC~District of Columbia~Certificate of Excellence 2016~positive~Tye G~Philadelphia, Pennsylvania
&pizza~3461934~Washington DC~District of Columbia~Certificate of Excellence 2016~negative~jxx9595~Washington, DC
&pizza~3461934~Washington DC~District of Columbia~Certificate of Excellence 2016~positive~Richard K~Austin
&pizza~3461934~Washington DC~District of Columbia~Certificate of Excellence 2016~positive~Swedishfan~Greensboro, North Carolina
&pizza~3461934~Washington DC~District of Columbia~Certificate of Excellence 2016~positive~Funkydoowopper~Kota Kinabalu, Malaysia
&pizza~3461934~Washington DC~District of Columbia~Certificate of Excellence 2016~positive~Suzanne D~Salt Lake City, Utah
&pizza~3461934~Washington DC~District of Columbia~Certificate of Excellence 2016~positive~StressfreeNDC~Washington DC, District of Columbia
&pizza~3461934~Washington DC~District of Columbia~Certificate of Excellence 2016~negative~perezg1~Phoenix, Arizona
&pizza~3461934~Washington DC~District of Columbia~Certificate of Excellence 2016~positive~Bob C~Provo, Utah
&pizza~3461934~Washington DC~District of Columbia~Certificate of Excellence 2016~positive~JohnBCowgill~Washington DC, District of Columbia
Alexis Diner~445380~Troy~New York~Certificate of Excellence 2016~positive~clubberfoot~Loudonville, New York
Alexis Diner~445380~Troy~New York~Certificate of Excellence 2016~negative~epuya~Sunny Isles Beach, Florida
Alexis Diner~445380~Troy~New York~Certificate of Excellence 2016~positive~Kim L~Niskayuna, New York
Alexis Diner~445380~Troy~New York~Certificate of Excellence 2016~negative~Adirondacker1~Saratoga Springs, New York
Alexis Diner~445380~Troy~New York~Certificate of Excellence 2016~negative~rochman55~Rochester, New York
Alexis Diner~445380~Troy~New York~Certificate of Excellence 2016~positive~David S~Key Largo, Florida
Alexis Diner~445380~Troy~New York~Certificate of Excellence 2016~negative~ArtLoftStudio~Troy, New York
Alexis Diner~445380~Troy~New York~Certificate of Excellence 2016~negative~Bev560~Hernando, Florida
Alexis Diner~445380~Troy~New York~Certificate of Excellence 2016~positive~JanetDP~London, Canada
Alexis Diner~445380~Troy~New York~Certificate of Excellence 2016~positive~Susanarl~New York
Alexis Diner~445380~Troy~New York~Certificate of Excellence 2016~negative~kickerAuburnNy~auburn ny
Alexis Diner~445380~Troy~New York~Certificate of Excellence 2016~negative~LaCat304~Troy, New York
Alexis Diner~445380~Troy~New York~Certificate of Excellence 2016~negative~joeball296~Troy, New York
Alexis Diner~445380~Troy~New York~Certificate of Excellence 2016~positive~FloridaFamilyofFive~Viera, Florida, USA
Alexis Diner~445380~Troy~New York~Certificate of Excellence 2016~negative~aanna47~Rensselaer, New York
Alexis Diner~445380~Troy~New York~Certificate of Excellence 2016~negative~tilefish~Hudson, New York
Alinea~570063~Chicago~Illinois~Traveler's Choice~negative~Pamela B~Erie, Pennsylvania
Alinea~570063~Chicago~Illinois~Traveler's Choice~positive~DSRBrady~Belleville, Canada
Alinea~570063~Chicago~Illinois~Traveler's Choice~negative~Danicavolt~Las Vegas, Nevada
Alinea~570063~Chicago~Illinois~Traveler's Choice~positive~richcast~Auckland, New Zealand
Alinea~570063~Chicago~Illinois~Traveler's Choice~negative~GeneralGene~Fort Worth, Texas
Alinea~570063~Chicago~Illinois~Traveler's Choice~negative~Lac1997~Ketchum, Idaho
Alinea~570063~Chicago~Illinois~Traveler's Choice~negative~martw66~Kansas City, Missouri
Alinea~570063~Chicago~Illinois~Traveler's Choice~positive~bethy1954~little rock
Alinea~570063~Chicago~Illinois~Traveler's Choice~negative~nrohde86~New Orleans, Louisiana, United States
Alinea~570063~Chicago~Illinois~Traveler's Choice~negative~Eric R~Taguig City, Philippines
Alinea~570063~Chicago~Illinois~Traveler's Choice~negative~j D~Charlotte, North Carolina
Alinea~570063~Chicago~Illinois~Traveler's Choice~negative~sydneysider~sydney
Alma de Cuba~433418~Philadelphia~Pennsylvania~Certificate of Excellence 2016~negative~Sharontwfl~Philadelphia, Pennsylvania
Alma de Cuba~433418~Philadelphia~Pennsylvania~Certificate of Excellence 2016~negative~joanz359~Philadelphia, Pa 
Alma de Cuba~433418~Philadelphia~Pennsylvania~Certificate of Excellence 2016~positive~lovestotravel013~Wilmington, Delaware
Alma de Cuba~433418~Philadelphia~Pennsylvania~Certificate of Excellence 2016~positive~4SIGHT~Laguna Beach
Alma de Cuba~433418~Philadelphia~Pennsylvania~Certificate of Excellence 2016~positive~Danielle R~Parlin, New Jersey
Alma de Cuba~433418~Philadelphia~Pennsylvania~Certificate of Excellence 2016~negative~rbcatraveler~Califormia
Alma de Cuba~433418~Philadelphia~Pennsylvania~Certificate of Excellence 2016~positive~momma3foodie~Belvedere, California
Alma de Cuba~433418~Philadelphia~Pennsylvania~Certificate of Excellence 2016~positive~Orchard609~Williamsport, Pennsylvania
Alma de Cuba~433418~Philadelphia~Pennsylvania~Certificate of Excellence 2016~negative~WorrywartBoston~Boston
Alma de Cuba~433418~Philadelphia~Pennsylvania~Certificate of Excellence 2016~positive~jpb-ny~NY, NY
Alma de Cuba~433418~Philadelphia~Pennsylvania~Certificate of Excellence 2016~negative~Lsbtravel1~Philadelphia, Pennsylvania
Alma de Cuba~433418~Philadelphia~Pennsylvania~Certificate of Excellence 2016~negative~101Umpalumpas~Princeton, New Jersey
Alma de Cuba~433418~Philadelphia~Pennsylvania~Certificate of Excellence 2016~positive~GovindaMadhav~London, United Kingdom
Alma de Cuba~433418~Philadelphia~Pennsylvania~Certificate of Excellence 2016~negative~4PMK~California
Alma de Cuba~433418~Philadelphia~Pennsylvania~Certificate of Excellence 2016~positive~Ramadama~New Providence, New Jersey
Alma de Cuba~433418~Philadelphia~Pennsylvania~Certificate of Excellence 2016~positive~lauralou67~Johnson City, Tennessee
Alma de Cuba~433418~Philadelphia~Pennsylvania~Certificate of Excellence 2016~positive~Joseph Z~Tewksbury, Massachusetts
Ambar~3845796~Washington DC~District of Columbia~Certificate of Excellence 2016~positive~SailstarOrion~Boothbay, Maine
Ambar~3845796~Washington DC~District of Columbia~Certificate of Excellence 2016~positive~AttWife~Washington DC, District of Columbia
Ambar~3845796~Washington DC~District of Columbia~Certificate of Excellence 2016~positive~Cathy A~Sarasota, Florida
Ambar~3845796~Washington DC~District of Columbia~Certificate of Excellence 2016~positive~SirDaniele~London, United Kingdom
Ambar~3845796~Washington DC~District of Columbia~Certificate of Excellence 2016~negative~saqib55~Washington DC, District of Columbia
Ambar~3845796~Washington DC~District of Columbia~Certificate of Excellence 2016~negative~Skyking233~Brampton, Canada
Ambar~3845796~Washington DC~District of Columbia~Certificate of Excellence 2016~positive~froggiesmooch~Washington DC, District of Columbia
Ambar~3845796~Washington DC~District of Columbia~Certificate of Excellence 2016~negative~Roxana M~Reading, Pennsylvania
Ambar~3845796~Washington DC~District of Columbia~Certificate of Excellence 2016~positive~Lynn C~Washington, District of Columbia, United States
Ambar~3845796~Washington DC~District of Columbia~Certificate of Excellence 2016~positive~whippledoc~Virginia
Ambar~3845796~Washington DC~District of Columbia~Certificate of Excellence 2016~negative~Philip S~Columbia, Maryland
Ambar~3845796~Washington DC~District of Columbia~Certificate of Excellence 2016~positive~shawsand~Harleysville, Pennsylvania
Ambar~3845796~Washington DC~District of Columbia~Certificate of Excellence 2016~positive~Jane E~Long Island, New York
Ambar~3845796~Washington DC~District of Columbia~Certificate of Excellence 2016~negative~kisner_jeff~Roxboro, North Carolina
Ambar~3845796~Washington DC~District of Columbia~Certificate of Excellence 2016~positive~Jeffery K P~ozark, United States
Ambar~3845796~Washington DC~District of Columbia~Certificate of Excellence 2016~positive~spbeers~wayne
Ambar~3845796~Washington DC~District of Columbia~Certificate of Excellence 2016~positive~MD O~New Jersey
Amelia's Bistro~1192747~Jersey City~New Jersey~Certificate of Excellence 2016~negative~landminseattle~Jersey City, New Jersey
Amelia's Bistro~1192747~Jersey City~New Jersey~Certificate of Excellence 2016~negative~Fiona H~Reading, United Kingdom
Amelia's Bistro~1192747~Jersey City~New Jersey~Certificate of Excellence 2016~positive~pkjersey~Jersey City, New Jersey
Amelia's Bistro~1192747~Jersey City~New Jersey~Certificate of Excellence 2016~positive~Leah S~New York City, New York
Amelia's Bistro~1192747~Jersey City~New Jersey~Certificate of Excellence 2016~negative~sradmd~Belleville, New Jersey
Amelia's Bistro~1192747~Jersey City~New Jersey~Certificate of Excellence 2016~negative~EricSurrey_UK~Ashtead
Amelia's Bistro~1192747~Jersey City~New Jersey~Certificate of Excellence 2016~negative~Katherine B~Jersey City, New Jersey
Amelia's Bistro~1192747~Jersey City~New Jersey~Certificate of Excellence 2016~negative~DRandMTR~Jersey City, New Jersey
Amelia's Bistro~1192747~Jersey City~New Jersey~Certificate of Excellence 2016~positive~LKeck~Jersey City, New Jersey
Amelia's Bistro~1192747~Jersey City~New Jersey~Certificate of Excellence 2016~negative~nicoleMCJ~Jersey City, New Jersey
Amelia's Bistro~1192747~Jersey City~New Jersey~Certificate of Excellence 2016~positive~Kennedy S~Foz do Iguacu, PR
Amelia's Bistro~1192747~Jersey City~New Jersey~Certificate of Excellence 2016~positive~Imran A~Jersey City, New Jersey
Amelia's Bistro~1192747~Jersey City~New Jersey~Certificate of Excellence 2016~positive~seepsaxena~Jersey City, New Jersey
Amelia's Bistro~1192747~Jersey City~New Jersey~Certificate of Excellence 2016~negative~MCPEdison_NewJersey~Edison, New Jersey
Amelia's Bistro~1192747~Jersey City~New Jersey~Certificate of Excellence 2016~positive~Arthur T~Hoboken, New Jersey
Amelia's Bistro~1192747~Jersey City~New Jersey~Certificate of Excellence 2016~negative~Yvette S~New York City, New York
Amelia's Bistro~1192747~Jersey City~New Jersey~Certificate of Excellence 2016~negative~Carlos B~Jersey City, New Jersey
Ancora~877984~Utica~New York~Certificate of Excellence 2016~negative~maliksmom~Utica, New York
Ancora~877984~Utica~New York~Certificate of Excellence 2016~positive~lilycrofters~Tiverton, Ontario
Ancora~877984~Utica~New York~Certificate of Excellence 2016~negative~Rand C~Utica, New York
Ancora~877984~Utica~New York~Certificate of Excellence 2016~positive~David N~Williamsville
Ancora~877984~Utica~New York~Certificate of Excellence 2016~positive~erin a~Utica, New York
Ancora~877984~Utica~New York~Certificate of Excellence 2016~positive~Bianca007441~Utica, New York
Ancora~877984~Utica~New York~Certificate of Excellence 2016~negative~Detta P~Syracuse, New York
Ancora~877984~Utica~New York~Certificate of Excellence 2016~positive~2011president~williamstown, ma
Ancora~877984~Utica~New York~Certificate of Excellence 2016~positive~John W~Utica, New York
Ancora~877984~Utica~New York~Certificate of Excellence 2016~negative~Karen E~East Meadow, New York
Ancora~877984~Utica~New York~Certificate of Excellence 2016~negative~herovb~Upstate New York
Ancora~877984~Utica~New York~Certificate of Excellence 2016~positive~Lgholt~Newburyport, Massachusetts
Ancora~877984~Utica~New York~Certificate of Excellence 2016~negative~FaragoCNY~New Hartford, New York, United States
Ancora~877984~Utica~New York~Certificate of Excellence 2016~positive~JoBeth13439~Richfield Springs, New York
Andaluca~432630~Seattle~Washington~Certificate of Excellence 2016~positive~Panda C~Queensland, Australia
